time,w
18:50:29:198146,1.07263
18:50:29:419406,1.07263
18:50:29:756778,1.07263
18:50:29:966670,1.0748600000000001
18:50:30:229351,1.0748600000000001
18:50:30:544261,1.0748600000000001
18:50:30:816601,1.0748600000000001
18:50:31:050481,1.07263
18:50:31:327426,1.07263
18:50:31:603107,1.07263
18:50:31:929586,1.07263
18:50:32:131406,1.0748600000000001
18:50:32:419788,1.0748600000000001
18:50:32:702528,1.0748600000000001
18:50:32:996239,1.0748600000000001
18:50:33:210054,1.0796800000000002
18:50:33:482296,1.0796800000000002
18:50:33:812156,1.0748600000000001
18:50:34:036489,1.0748600000000001
18:50:34:339354,1.0748600000000001
18:50:34:576459,1.0748600000000001
18:50:34:896799,1.0748600000000001
18:50:35:117426,1.0748600000000001
18:50:35:385850,1.07263
18:50:35:697209,1.07263
18:50:35:994764,1.0748600000000001
18:50:36:274195,1.0748600000000001
18:50:36:469121,1.0748600000000001
18:50:36:760268,1.0748600000000001
18:50:37:065113,1.07744
