time,w
01:35:31:844772,1.11375
01:35:32:114879,1.4326
01:35:32:392497,1.4326
01:35:32:656368,1.43754
01:35:32:917711,1.43754
01:35:33:210235,1.3585000000000003
01:35:33:486285,1.3585000000000003
01:35:33:737909,0.55776
01:35:34:011021,0.55776
01:35:34:278324,0.5478000000000001
01:35:34:544179,0.5478000000000001
01:35:34:825093,0.53393
01:35:35:080305,0.53393
01:35:35:364100,0.58764
01:35:35:628870,0.58764
01:35:35:906519,0.92752
01:35:36:167712,0.92752
01:35:36:473468,0.5976
01:35:36:706462,0.5976
01:35:36:988287,0.70218
01:35:37:255237,0.70218
01:35:37:528595,0.5826600000000001
01:35:37:792706,0.5826600000000001
01:35:38:077297,0.54391
01:35:38:344720,0.54391
01:35:38:646134,0.52894
01:35:38:881813,0.52894
01:35:39:151009,0.5826600000000001
01:35:39:432171,0.5826600000000001
01:35:39:731653,0.5976
01:35:39:966775,0.5976
