time,w
15:52:27:700001,1.55472
15:52:27:976653,1.55472
15:52:28:287434,1.5498
15:52:28:515126,1.5498
15:52:28:778222,1.5498
15:52:29:051305,1.5498
15:52:29:372443,1.5498
15:52:29:596241,1.5498
15:52:29:858572,1.55472
15:52:30:133140,1.55472
15:52:30:404534,1.5498
15:52:30:677184,1.5498
15:52:30:938760,1.55472
15:52:31:238488,1.55472
15:52:31:488165,1.55472
15:52:31:779648,1.55472
15:52:32:024476,1.55472
15:52:32:320920,1.55472
15:52:32:572455,1.55472
15:52:32:847548,1.55472
15:52:33:135965,1.55472
15:52:33:411139,1.55472
15:52:33:694427,1.55472
15:52:33:916128,1.55472
15:52:34:200805,1.5498
15:52:34:519522,1.5498
15:52:34:737110,1.55472
15:52:35:015709,1.55472
15:52:35:297302,1.55472
15:52:35:554911,1.55472
15:52:35:827135,1.55472
