time,w
15:30:54:595616,2.11621
15:30:54:879470,2.11621
15:30:55:176510,2.11621
15:30:55:462061,2.11621
15:30:55:684290,2.11621
15:30:55:947765,2.11621
15:30:56:231466,2.11621
15:30:56:494442,2.11621
15:30:56:778207,2.11621
15:30:57:041685,2.11621
15:30:57:329450,2.11621
15:30:57:578411,2.11621
15:30:57:854100,2.11621
15:30:58:128799,2.11621
15:30:58:426998,2.1119000000000003
15:30:58:672503,2.1119000000000003
15:30:58:943896,2.1075899999999996
15:30:59:215449,2.1075899999999996
15:30:59:500810,2.1119000000000003
15:30:59:750383,2.1119000000000003
15:31:00:020792,2.11621
15:31:00:333424,2.11621
