time,w
18:25:00:760799,2.11621
18:25:01:043486,2.11621
18:25:01:313981,2.11621
18:25:01:578052,2.12052
18:25:01:890070,2.12052
18:25:02:122652,2.12052
18:25:02:407098,2.12052
18:25:02:653537,2.11621
18:25:02:976059,2.11621
18:25:03:202548,2.12052
18:25:03:476761,2.12052
18:25:03:753513,2.12052
18:25:04:058265,2.12052
18:25:04:308580,2.12052
18:25:04:565943,2.12052
18:25:04:831728,2.1156
18:25:05:150336,2.1156
18:25:05:367152,2.12052
18:25:05:644240,2.12052
18:25:05:916676,2.1156
18:25:06:189761,2.1156
18:25:06:450566,2.12052
18:25:06:727899,2.12052
18:25:07:030021,2.11621
18:25:07:275541,2.11621
18:25:07:548003,1.88326
18:25:07:818391,1.88326
18:25:08:117246,2.1113
18:25:08:359249,2.1113
18:25:08:629088,2.1156
