time,w
18:38:00:396603,1.0748600000000001
18:38:00:599460,1.0748600000000001
18:38:00:874517,1.0748600000000001
18:38:01:176880,1.0748600000000001
18:38:01:412339,1.0748600000000001
18:38:01:699237,1.0748600000000001
18:38:01:948113,1.0748600000000001
18:38:02:279503,1.0748600000000001
18:38:02:501014,1.0748600000000001
18:38:02:767163,1.0748600000000001
18:38:03:072815,1.0748600000000001
18:38:03:367671,1.0748600000000001
18:38:03:604160,1.0748600000000001
18:38:03:841214,1.0748600000000001
18:38:04:124160,1.0748600000000001
18:38:04:420815,1.0748600000000001
18:38:04:663012,1.0748600000000001
18:38:04:947240,1.0748600000000001
18:38:05:219383,1.0796800000000002
18:38:05:508279,1.0796800000000002
18:38:05:751208,1.0748600000000001
18:38:06:023096,1.0748600000000001
18:38:06:322676,1.0748600000000001
18:38:06:588837,1.0748600000000001
18:38:06:839770,1.0748600000000001
18:38:07:103854,1.0748600000000001
18:38:07:459358,1.0748600000000001
18:38:07:643464,1.0748600000000001
18:38:07:913319,1.07004
18:38:08:219210,1.07004
