time,w
12:43:57:867142,2.22423
12:43:58:152201,2.22423
12:43:58:460194,2.22423
12:43:58:670616,2.22423
12:43:58:953190,2.22423
12:43:59:234345,2.22423
12:43:59:491157,2.22423
12:43:59:766063,2.22423
12:44:00:043411,2.22423
12:44:00:329738,2.22423
12:44:00:562746,2.22423
12:44:00:846919,2.22423
12:44:01:118131,2.22423
12:44:01:449775,2.22423
12:44:01:652267,2.22423
12:44:01:956706,2.22423
12:44:02:194612,2.22423
12:44:02:524157,2.22423
12:44:02:740151,2.22423
12:44:03:007203,2.22423
12:44:03:286130,2.22423
12:44:03:601869,2.22423
12:44:03:820007,2.22423
12:44:04:086548,2.22423
12:44:04:399238,2.22423
12:44:04:637348,2.22423
12:44:04:907585,2.21932
12:44:05:174103,2.21932
12:44:05:466566,2.22423
12:44:05:724590,2.22423
