time,w
18:33:07:102213,2.01144
18:33:07:419547,2.01144
18:33:07:646077,2.01144
18:33:07:914159,2.01144
18:33:08:184476,2.01144
18:33:08:447395,2.01144
18:33:08:732992,2.01144
18:33:08:995618,2.01144
18:33:09:289481,2.01144
18:33:09:542080,2.01144
18:33:09:808609,2.01144
18:33:10:079690,2.01144
18:33:10:397070,2.01144
18:33:10:645684,2.01144
18:33:10:894448,2.01144
18:33:11:162623,2.01144
18:33:11:448887,2.01144
18:33:11:698836,2.01144
18:33:11:966315,2.01144
18:33:12:250360,2.01144
18:33:12:587242,2.01144
18:33:12:785262,2.01144
18:33:13:060118,2.01144
18:33:13:335961,2.01144
18:33:13:608112,2.01144
18:33:13:875632,2.01144
18:33:14:141877,2.0065099999999996
18:33:14:442491,2.0065099999999996
18:33:14:677492,2.01144
18:33:14:960901,2.01144
