time,w
00:20:02:815934,2.01144
00:20:03:129656,2.0122799999999996
00:20:03:359534,2.0122799999999996
00:20:03:633265,2.01144
00:20:03:900631,2.01144
00:20:04:169507,2.01144
00:20:04:443129,2.01144
00:20:04:714294,1.96707
00:20:04:981719,1.96707
00:20:05:257471,1.9266000000000003
00:20:05:526975,1.9266000000000003
00:20:05:803358,1.81298
00:20:06:085812,1.81298
00:20:06:340731,1.7981600000000002
00:20:06:605054,1.7981600000000002
00:20:06:878029,1.7523
00:20:07:190839,1.7523
00:20:07:420966,1.7077499999999999
00:20:07:695640,1.7077499999999999
00:20:07:965812,1.6715200000000001
00:20:08:236279,1.6715200000000001
00:20:08:511903,1.7127
00:20:08:781094,1.7127
00:20:09:052459,1.80675
00:20:09:321782,1.80675
00:20:09:600498,1.7127
00:20:09:864422,1.7127
00:20:10:154122,1.6681500000000002
00:20:10:403240,1.6681500000000002
00:20:10:675869,1.6879500000000003
