time,w
14:36:43:375015,2.107
14:36:43:640275,2.107
14:36:43:913111,2.1027
14:36:44:179509,2.1027
14:36:44:475983,2.1113
14:36:44:714404,2.1113
14:36:45:006729,2.1113
14:36:45:263119,2.1113
14:36:45:586859,2.1113
14:36:45:806634,2.1113
14:36:46:071578,2.1113
14:36:46:349770,2.1113
14:36:46:656887,2.1113
14:36:46:890595,2.1113
14:36:47:160731,2.1113
14:36:47:434492,2.1113
14:36:47:750792,2.1113
14:36:47:973630,2.1113
14:36:48:238159,2.1113
14:36:48:522447,2.1113
14:36:48:808349,2.1113
14:36:49:054357,2.1113
14:36:49:313076,2.1113
14:36:49:606409,2.1113
14:36:49:860945,2.1113
14:36:50:137615,2.1113
14:36:50:409001,2.1113
14:36:50:747353,2.1113
14:36:50:939893,2.1113
14:36:51:217895,2.1113
14:36:51:490650,2.10639
