time,w
18:56:00:123796,1.9019000000000001
18:56:00:375866,1.90684
18:56:00:682552,1.90684
18:56:00:898479,1.9019000000000001
18:56:01:176075,1.9019000000000001
18:56:01:478616,1.9019000000000001
18:56:01:704549,1.9019000000000001
18:56:01:988462,1.9019000000000001
18:56:02:252766,1.9019000000000001
18:56:02:551905,1.9019000000000001
18:56:02:794109,1.9019000000000001
18:56:03:072120,1.9019000000000001
18:56:03:332218,1.9019000000000001
18:56:03:639108,1.9019000000000001
18:56:03:871923,1.9019000000000001
18:56:04:155057,1.90684
18:56:04:421993,1.90684
18:56:04:725969,1.9019000000000001
18:56:04:960326,1.9019000000000001
18:56:05:240602,1.9019000000000001
18:56:05:507923,1.9019000000000001
18:56:05:825876,1.90684
18:56:06:042069,1.90684
18:56:06:321561,1.9019000000000001
18:56:06:617207,1.9019000000000001
18:56:06:868413,1.90684
18:56:07:161162,1.90684
18:56:07:403845,1.9019000000000001
18:56:07:675509,1.9019000000000001
18:56:07:940666,1.9019000000000001
18:56:08:215904,1.9019000000000001
