time,w
14:21:34:793551,2.09166
14:21:35:084962,2.09166
14:21:35:367100,2.1113
14:21:35:601899,2.1113
14:21:35:867833,0.7619400000000001
14:21:36:181878,0.7619400000000001
14:21:36:408930,0.50399
14:21:36:672490,0.50399
14:21:36:960733,0.55389
14:21:37:223735,0.55389
14:21:37:490449,0.51896
14:21:37:768909,0.51896
14:21:38:066049,0.5988
14:21:38:301690,0.5988
14:21:38:579569,0.60878
14:21:38:850945,0.60878
14:21:39:158805,0.65736
14:21:39:382056,0.65736
14:21:39:662901,0.50898
14:21:39:958123,0.50898
14:21:40:250998,0.57884
14:21:40:479242,0.57884
14:21:40:747563,0.61876
14:21:41:009765,0.61876
14:21:41:334159,0.49401000000000006
14:21:41:553901,0.49401000000000006
14:21:41:830195,0.6287400000000001
14:21:42:120330,0.6287400000000001
14:21:42:415382,0.6487
14:21:42:643888,0.6487
