time,w
12:30:55:760521,2.22876
12:30:56:031848,2.22876
12:30:56:311456,2.22876
12:30:56:573901,2.22876
12:30:56:845357,2.22876
12:30:57:154144,2.22876
12:30:57:400196,2.22876
12:30:57:659587,2.22876
12:30:57:932670,2.22876
12:30:58:202150,2.22876
12:30:58:503940,2.22876
12:30:58:739806,2.22876
12:30:59:007149,2.22384
12:30:59:272506,2.22384
12:30:59:590065,2.22876
12:30:59:826037,2.22876
12:31:00:093619,2.22876
12:31:00:378783,2.22876
12:31:00:719866,2.22876
12:31:00:914457,2.22876
12:31:01:182656,2.22876
12:31:01:454617,2.22876
12:31:01:725519,2.22876
12:31:01:988146,2.22876
12:31:02:279823,2.23368
12:31:02:566273,2.23368
12:31:02:804374,2.22876
12:31:03:086065,2.22876
12:31:03:345174,2.22876
12:31:03:653145,2.22876
12:31:03:905211,2.22876
