time,w
14:15:23:602608,2.1021
14:15:23:877250,1.7550799999999998
14:15:24:142822,1.7550799999999998
14:15:24:417428,1.7649399999999997
14:15:24:690950,1.7649399999999997
14:15:25:019424,2.08675
14:15:25:223339,2.08675
14:15:25:505192,1.7550799999999998
14:15:25:759597,1.7550799999999998
14:15:26:076288,0.98406
14:15:26:309818,0.98406
14:15:26:581423,1.0287899999999999
14:15:26:849297,1.0287899999999999
14:15:27:169501,1.4058
14:15:27:385441,1.4058
14:15:27:668506,1.24
14:15:27:931471,1.24
14:15:28:278547,0.6822600000000001
14:15:28:479906,0.6822600000000001
14:15:28:748737,0.70218
14:15:29:011358,0.70218
14:15:29:284842,0.64371
14:15:29:562318,0.64371
14:15:29:827781,0.65736
14:15:30:158505,0.65736
14:15:30:375076,0.80178
14:15:30:646058,0.80178
14:15:30:921138,0.7569600000000001
14:15:31:230302,0.7569600000000001
14:15:31:463257,0.7270800000000001
