time,w
19:08:41:075659,1.7919
19:08:41:400027,1.7919
19:08:41:616088,1.7919
19:08:41:887500,1.7919
19:08:42:152227,1.7919
19:08:42:467951,1.7919
19:08:42:702217,1.7919
19:08:42:972719,1.7919
19:08:43:269024,1.7919
19:08:43:508947,1.7919
19:08:43:787155,1.7919
19:08:44:048517,1.7919
19:08:44:339756,1.7919
19:08:44:596998,1.7919
19:08:44:868888,1.7919
19:08:45:164217,1.7919
19:08:45:435780,1.7919
19:08:45:680457,1.7919
19:08:45:951487,1.78695
19:08:46:220216,1.78695
19:08:46:540356,1.7919
19:08:46:754107,1.7919
19:08:47:037122,1.7919
19:08:47:312482,1.7919
19:08:47:615432,1.7919
19:08:47:847177,1.7919
19:08:48:115326,1.7919
19:08:48:432101,1.7919
19:08:48:647734,1.7919
19:08:48:932747,1.7919
19:08:49:198591,1.7919
