time,w
13:24:57:413329,2.22914
13:24:57:617578,2.22914
13:24:57:881344,2.22914
13:24:58:157205,2.22914
13:24:58:475038,2.2246
13:24:58:709991,2.2246
13:24:58:968517,2.21517
13:24:59:251708,2.21517
13:24:59:595255,2.22914
13:24:59:777476,2.22914
13:25:00:059724,2.22914
13:25:00:319290,2.22914
13:25:00:618689,2.22914
13:25:00:865477,2.22914
13:25:01:144554,2.22423
13:25:01:408433,2.22423
13:25:01:682415,2.22914
13:25:01:958638,2.22914
13:25:02:228727,2.22423
13:25:02:535068,2.22423
13:25:02:770475,2.22914
13:25:03:026428,2.22914
13:25:03:309416,2.22423
13:25:03:633876,2.22423
13:25:03:852417,2.22914
13:25:04:122400,2.22914
13:25:04:393597,2.22423
13:25:04:702421,2.22423
13:25:04:924191,2.22423
13:25:05:198645,2.22423
13:25:05:489146,2.22423
